# Hosts information in Wireshark 
#
# Host data gathered from /home/ishtar/github/ntua-netmgmnt/lab4/trace_b.cap

Key:0x7f0d6693 IP: 147.102.13.127, Name: vUbuntu.netmode.ece.ntua.gr
Key:0x200d6693 IP: 147.102.13.32, Name: pc-maglaris.netmode.ece.ntua.gr
Key:0x30d6693 IP: 147.102.13.3, Name: black.netmode.ece.ntua.gr
Key:0x450d6693 IP: 147.102.13.69, Name: dhcp-69.netmode.ece.ntua.gr
Key:0xe60d6693 IP: 147.102.13.230, Name: wolverine-man.netmode.ece.ntua.gr
Key:0x14786c3 IP: 195.134.71.1, Name: 195.134.71.1
Key:0x870d6693 IP: 147.102.13.135, Name: dhcp-135.netmode.ece.ntua.gr
Key:0x280d6693 IP: 147.102.13.40, Name: lexmark.netmode.ece.ntua.gr
Key:0x6a0d6693 IP: 147.102.13.106, Name: mainalo.netmode.ece.ntua.gr
Key:0xb0d6693 IP: 147.102.13.11, Name: eleni.netmode.ece.ntua.gr
Key:0xac0d6693 IP: 147.102.13.172, Name: mary-laptop.netmode.ece.ntua.gr
Key:0x4d0d6693 IP: 147.102.13.77, Name: dhcp-77.netmode.ece.ntua.gr
Key:0xee0d6693 IP: 147.102.13.238, Name: kdc.netmode.ece.ntua.gr
Key:0xdcde6693 IP: 147.102.222.220, Name: diomedes.noc.ntua.gr
Key:0x8f0d6693 IP: 147.102.13.143, Name: mariana.netmode.ece.ntua.gr
Key:0x300d6693 IP: 147.102.13.48, Name: yiannos-netmode.netmode.ece.ntua.gr
Key:0x720d6693 IP: 147.102.13.114, Name: egee.netmode.ece.ntua.gr
Key:0x130d6693 IP: 147.102.13.19, Name: maria.netmode.ece.ntua.gr
Key:0xb40d6693 IP: 147.102.13.180, Name: debmon.netmode.ece.ntua.gr
Key:0x550d6693 IP: 147.102.13.85, Name: dragon.netmode.ece.ntua.gr
Key:0xf60d6693 IP: 147.102.13.246, Name: cyclops.netmode.ece.ntua.gr
Key:0x380d6693 IP: 147.102.13.56, Name: globus1.netmode.ece.ntua.gr
Key:0xd90d6693 IP: 147.102.13.217, Name: dhcp-217.netmode.ece.ntua.gr
Key:0x7a0d6693 IP: 147.102.13.122, Name: box.netmode.ece.ntua.gr
Key:0x1b0d6693 IP: 147.102.13.27, Name: rookie.netmode.ece.ntua.gr
Key:0xfe0d6693 IP: 147.102.13.254, Name: linksys-sw.netmode.ece.ntua.gr
Key:0x400d6693 IP: 147.102.13.64, Name: dhcp-64.netmode.ece.ntua.gr
Key:0x820d6693 IP: 147.102.13.130, Name: dhcp-130.netmode.ece.ntua.gr
Key:0x230d6693 IP: 147.102.13.35, Name: coffee.netmode.ece.ntua.gr
Key:0x650d6693 IP: 147.102.13.101, Name: goofy.netmode.ece.ntua.gr
Key:0x60d6693 IP: 147.102.13.6, Name: bofh.netmode.ece.ntua.gr
Key:0x480d6693 IP: 147.102.13.72, Name: dhcp-72.netmode.ece.ntua.gr
Key:0xd2d2b1c2 IP: 194.177.210.210, Name: nic.grnet.gr
Key:0x8a0d6693 IP: 147.102.13.138, Name: dhcp-138.netmode.ece.ntua.gr
Key:0x2b0d6693 IP: 147.102.13.43, Name: grid3.netmode.ece.ntua.gr
Key:0xe0d6693 IP: 147.102.13.14, Name: sofo.netmode.ece.ntua.gr
